l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801200.SI,商贸零售,801203.SI,一般零售,852033.SI,多业态零售,600694.SH,大商股份,19931122,,Y,0.03027,0.02351,0.17293
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,000564.SZ,供销大集,19940110,,Y,0.18033,0.17391,0.25581
801200.SI,商贸零售,801203.SI,一般零售,852033.SI,多业态零售,600827.SH,百联股份,19940204,,Y,0.20882,0.11803,0.33419
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,600828.SH,茂业商业,19940224,,Y,0.07797,0.10801,0.30328
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,600859.SH,王府井,19940506,,Y,0.06102,0.04194,0.10601
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,600415.SH,小商品城,20020509,,Y,0.03394,0.18882,0.49272
801200.SI,商贸零售,801203.SI,一般零售,852032.SI,超市,601116.SH,三江购物,20110218,,Y,0.17143,0.22529,0.3325
801200.SI,商贸零售,801203.SI,一般零售,852032.SI,超市,601933.SH,永辉超市,20101207,,Y,0.34417,0.38162,1.25455
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,000058.SZ,深赛格,20111010,,Y,0.24209,0.2937,0.66298
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,000061.SZ,农产品,20131231,,Y,0.05864,0.08618,0.29961
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,603123.SH,翠微股份,20120418,,Y,0.12438,0.09576,0.48684
801200.SI,商贸零售,801203.SI,一般零售,852032.SI,超市,002697.SZ,红旗连锁,20120828,,Y,0.0587,0.08506,0.23641
801200.SI,商贸零售,801203.SI,一般零售,852032.SI,超市,603708.SH,家家悦,20161201,,Y,0.24719,0.24579,0.34545
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,000501.SZ,武商集团,20170629,,Y,0.04809,0.03532,0.22302
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,002419.SZ,天虹股份,20170629,,Y,0.05081,0.09534,0.20794
801200.SI,商贸零售,801203.SI,一般零售,852033.SI,多业态零售,600861.SH,北京人力,20170629,,Y,0.09038,0.16051,0.34304
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,600790.SH,轻纺城,20070702,,Y,0.025,0.03652,0.12844
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,600605.SH,汇通能源,20210730,,Y,0.05096,0.15128,0.3326
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,000785.SZ,居然之家,20210730,,Y,0.08955,0.07749,0.11027
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,600655.SH,豫园股份,20210730,,Y,0.04615,0.01661,0.12915
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,601828.SH,美凯龙,20180108,,Y,0.11111,0.01266,0.28514
