l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801170.SI,交通运输,801991.SI,航空机场,851741.SI,航空运输,600221.SH,海航控股,20210730,,Y
801170.SI,交通运输,801991.SI,航空机场,851751.SI,机场,600897.SH,厦门空港,19960531,,Y
801170.SI,交通运输,801991.SI,航空机场,851741.SI,航空运输,601021.SH,春秋航空,20210730,,Y
801170.SI,交通运输,801991.SI,航空机场,851741.SI,航空运输,600115.SH,中国东航,20210730,,Y
801170.SI,交通运输,801991.SI,航空机场,851741.SI,航空运输,600029.SH,南方航空,20210730,,Y
801170.SI,交通运输,801991.SI,航空机场,851741.SI,航空运输,000099.SZ,中信海直,20210730,,Y
801170.SI,交通运输,801991.SI,航空机场,851741.SI,航空运输,002928.SZ,华夏航空,20210730,,Y
801170.SI,交通运输,801991.SI,航空机场,851741.SI,航空运输,603885.SH,吉祥航空,20210730,,Y
801170.SI,交通运输,801991.SI,航空机场,851751.SI,机场,600009.SH,上海机场,19980218,,Y
801170.SI,交通运输,801991.SI,航空机场,851751.SI,机场,000089.SZ,深圳机场,20210729,,Y
801170.SI,交通运输,801991.SI,航空机场,851751.SI,机场,600004.SH,白云机场,20030428,,Y
801170.SI,交通运输,801991.SI,航空机场,851741.SI,航空运输,601111.SH,中国国航,20210730,,Y
