ts_code,name
688443.SH,智翔金泰
688062.SH,迈威生物
688212.SH,澳华内镜
688351.SH,微电生理
002850.SZ,科达利
688563.SH,航材股份
603193.SH,润本股份
688082.SH,盛美上海
688331.SH,荣昌生物
605296.SH,神农集团
688658.SH,悦康药业
301498.SZ,乖宝宠物
688281.SH,华秦科技
300347.SZ,泰格医药
300705.SZ,九典制药
688072.SH,拓荆科技
688652.SH,京仪装备
688766.SH,普冉股份
688223.SH,晶科能源
688120.SH,华海清科
603296.SH,华勤技术
688628.SH,优利德
300633.SZ,开立医疗
300502.SZ,新易盛
688239.SH,航宇科技
688332.SH,中科蓝讯
688349.SH,三一重能
301061.SZ,匠心家居
300661.SZ,圣邦股份
001301.SZ,尚太科技
688099.SH,晶晨股份
688506.SH,百利天恒
688041.SH,海光信息
688336.SH,三生国健
301015.SZ,百洋医药
688012.SH,中微公司
002273.SZ,水晶光电
688981.SH,中芯国际
301035.SZ,润丰股份
603097.SH,江苏华辰
688692.SH,达梦数据
688187.SH,时代电气
688197.SH,首药控股
688235.SH,百济神州
688279.SH,峰岹科技
300855.SZ,图南股份
002541.SZ,鸿路钢构
688114.SH,华大智造
300037.SZ,新宙邦
688008.SH,澜起科技
000528.SZ,柳工
301345.SZ,涛涛车业
689009.SH,九号公司
688232.SH,新点软件
688192.SH,迪哲医药
688702.SH,盛科通信
300395.SZ,菲利华
300181.SZ,佐力药业
688548.SH,广钢气体
688337.SH,普源精电
301327.SZ,华宝新能
688220.SH,翱捷科技
002840.SZ,华统股份
300274.SZ,阳光电源
301363.SZ,美好医疗
688253.SH,英诺特
002463.SZ,沪电股份
605368.SH,蓝天燃气
603477.SH,巨星农牧
688617.SH,惠泰医疗
688428.SH,诺诚健华
688789.SH,宏华数科
603986.SH,兆易创新
300285.SZ,国瓷材料
688169.SH,石头科技
301589.SZ,诺瓦星云
002832.SZ,比音勒芬
688303.SH,大全能源
300049.SZ,福瑞股份
000526.SZ,学大教育
301358.SZ,湖南裕能
688426.SH,康为世纪
300354.SZ,东华测试
003000.SZ,劲仔食品
688596.SH,正帆科技
300567.SZ,精测电子
300218.SZ,安利股份
688630.SH,芯碁微装
300308.SZ,中际旭创
688052.SH,纳芯微
688502.SH,茂莱光学
688776.SH,国光电气
688153.SH,唯捷创芯
688266.SH,泽璟制药
300298.SZ,三诺生物
002025.SZ,航天电器
600729.SH,重庆百货
603998.SH,方盛制药
300454.SZ,深信服
688050.SH,爱博医疗
301030.SZ,仕净科技
601058.SH,赛轮轮胎
603325.SH,博隆技术
605289.SH,罗曼股份
688019.SH,安集科技
688798.SH,艾为电子
688498.SH,源杰科技
002653.SZ,海思科
688639.SH,华恒生物
688112.SH,鼎阳科技
834058.BJ,华洋赛车
002422.SZ,科伦药业
301257.SZ,普蕊斯
600285.SH,羚锐制药
301031.SZ,中熔电气
688270.SH,臻镭科技
688608.SH,恒玄科技
605266.SH,健之佳
688390.SH,固德威
688378.SH,奥来德
600941.SH,中国移动
300818.SZ,耐普矿机
688076.SH,诺泰生物
002922.SZ,伊戈尔
300014.SZ,亿纬锂能
002028.SZ,思源电气
688627.SH,精智达
000403.SZ,派林生物
300628.SZ,亿联网络
603596.SH,伯特利
688385.SH,复旦微电
603129.SH,春风动力
600426.SH,华鲁恒升
688293.SH,奥浦迈
600060.SH,海信视像
002567.SZ,唐人神
688612.SH,威迈斯
688408.SH,中信博
002149.SZ,西部材料
002884.SZ,凌霄泵业
301349.SZ,信德新材
002138.SZ,顺络电子
688037.SH,芯源微
300677.SZ,英科医疗
688183.SH,生益电子
300910.SZ,瑞丰新材
688409.SH,富创精密
300604.SZ,长川科技
002223.SZ,鱼跃医疗
301413.SZ,安培龙
605555.SH,德昌股份
688376.SH,美埃科技
300442.SZ,润泽科技
300679.SZ,电连技术
603179.SH,新泉股份
300476.SZ,胜宏科技
688256.SH,寒武纪
833394.BJ,民士达
301096.SZ,百诚医药
301188.SZ,力诺特玻
688213.SH,思特威
000596.SZ,古井贡酒
688122.SH,西部超导
600975.SH,新五丰
002727.SZ,一心堂
301187.SZ,欧圣电气
301068.SZ,大地海洋
688333.SH,铂力特
000423.SZ,东阿阿胶
603997.SH,继峰股份
688226.SH,威腾电气
300002.SZ,神州泰岳
603801.SH,志邦家居
300759.SZ,康龙化成
688002.SH,睿创微纳
688083.SH,中望软件
833533.BJ,骏创科技
688301.SH,奕瑞科技
600559.SH,老白干酒
300811.SZ,铂科新材
000933.SZ,神火股份
688377.SH,迪威尔
002709.SZ,天赐材料
600325.SH,华发股份
000680.SZ,山推股份
688525.SH,佰维存储
600584.SH,长电科技
300782.SZ,卓胜微
002003.SZ,伟星股份
001328.SZ,登康口腔
601033.SH,永兴股份
688361.SH,中科飞测
605305.SH,中际联合
688687.SH,凯因科技
300662.SZ,科锐国际
301269.SZ,华大九天
601156.SH,东航物流
600422.SH,昆药集团
603283.SH,赛腾股份
300763.SZ,锦浪科技
300394.SZ,天孚通信
688032.SH,禾迈股份
300573.SZ,兴齐眼药
002444.SZ,巨星科技
688536.SH,思瑞浦
300017.SZ,网宿科技
688210.SH,统联精密
300593.SZ,新雷能
603259.SH,药明康德
603606.SH,东方电缆
002833.SZ,弘亚数控
300482.SZ,万孚生物
300751.SZ,迈为股份
688676.SH,金盘科技
600993.SH,马应龙
002126.SZ,银轮股份
002517.SZ,恺英网络
002384.SZ,东山精密
688382.SH,益方生物
002332.SZ,仙琚制药
002327.SZ,富安娜
600761.SH,安徽合力
000975.SZ,山金国际
688046.SH,药康生物
301087.SZ,可孚医疗
002262.SZ,恩华药业
002180.SZ,纳思达
688728.SH,格科微
002984.SZ,森麒麟
002155.SZ,湖南黄金
688141.SH,杰华特
002756.SZ,永兴材料
603035.SH,常熟汽饰
600529.SH,山东药玻
688363.SH,华熙生物
002452.SZ,长高电新
002353.SZ,杰瑞股份
301280.SZ,珠城科技
300415.SZ,伊之密
688677.SH,海泰新光
600461.SH,洪城环境
688691.SH,灿芯股份
301459.SZ,丰茂股份
603279.SH,景津装备
688023.SH,安恒信息
688598.SH,金博股份
688123.SH,聚辰股份
300054.SZ,鼎龙股份
603507.SH,振江股份
300529.SZ,健帆生物
002100.SZ,天康生物
603383.SH,顶点软件
603199.SH,九华旅游
603173.SH,福斯达
300833.SZ,浩洋股份
688599.SH,天合光能
002371.SZ,北方华创
600079.SH,人福医药
688621.SH,阳光诺和
832651.BJ,天罡股份
600522.SH,中天科技
430418.BJ,苏轴股份
301033.SZ,迈普医学
688521.SH,芯原股份
002409.SZ,雅克科技
001215.SZ,千味央厨
002568.SZ,百润股份
688606.SH,奥泰生物
002821.SZ,凯莱英
603816.SH,顾家家居
688777.SH,中控技术
000568.SZ,泸州老窖
300012.SZ,华测检测
688582.SH,芯动联科
688575.SH,亚辉龙
600114.SH,东睦股份
600976.SH,健民集团
300487.SZ,蓝晓科技
301122.SZ,采纳股份
002991.SZ,甘源食品
300577.SZ,开润股份
002475.SZ,立讯精密
000733.SZ,振华科技
301261.SZ,恒工精密
600861.SH,北京人力
002179.SZ,中航光电
600399.SH,抚顺特钢
002940.SZ,昂利康
301239.SZ,普瑞眼科
002154.SZ,报喜鸟
603882.SH,金域医学
002318.SZ,久立特材
600129.SH,太极集团
001283.SZ,豪鹏科技
688190.SH,云路股份
300122.SZ,智飞生物
688486.SH,龙迅股份
300253.SZ,卫宁健康
300832.SZ,新产业
600988.SH,赤峰黄金
002410.SZ,广联达
688488.SH,艾迪药业
