ts_code,symbol,name,industry,market,list_date,circ_mv
000001.SZ,000001,平安银行,银行,主板,1991-04-03,22723978.1253
000002.SZ,000002,万科A,全国地产,主板,1991-01-29,8881279.3806
000006.SZ,000006,深振业A,区域地产,主板,1992-04-27,1190688.8833
000008.SZ,000008,神州高铁,运输设备,主板,1992-05-07,644645.8478
000009.SZ,000009,中国宝安,电气设备,主板,1991-06-25,2485093.1356
000011.SZ,000011,深物业A,房产服务,主板,1992-03-30,530160.8718
000012.SZ,000012,南玻A,玻璃,主板,1992-02-28,1106992.9994
000016.SZ,000016,深康佳A,家用电器,主板,1992-03-27,767961.6178
000021.SZ,000021,深科技,元器件,主板,1994-02-02,2963244.631
000025.SZ,000025,特力A,综合类,主板,1993-06-21,707393.7543
000027.SZ,000027,深圳能源,火力发电,主板,1993-09-03,3339687.721
000028.SZ,000028,国药一致,医药商业,主板,1993-08-09,1372014.1563
000029.SZ,000029,深深房A,区域地产,主板,1993-09-15,1399014.54
000030.SZ,000030,富奥股份,汽车配件,主板,1993-09-29,878256.7103
000031.SZ,000031,大悦城,全国地产,主板,1993-10-08,1252903.6839
000032.SZ,000032,深桑达A,建筑工程,主板,1993-10-28,1243749.3914
000034.SZ,000034,神州数码,软件服务,主板,1994-05-09,1784866.8103
000035.SZ,000035,中国天楹,环境保护,主板,1994-04-08,1168605.6395
000036.SZ,000036,华联控股,全国地产,主板,1994-06-17,685552.0481
000039.SZ,000039,中集集团,运输设备,主板,1994-04-08,1951593.2556
000048.SZ,000048,京基智农,区域地产,主板,1994-11-01,889506.725
000049.SZ,000049,德赛电池,电气设备,主板,1995-03-20,1005460.0812
000050.SZ,000050,深天马A,元器件,主板,1995-03-15,2012871.9314
000058.SZ,000058,深赛格,商品城,主板,1996-12-26,799585.8224
000059.SZ,000059,华锦股份,石油加工,主板,1997-01-30,863698.97
000060.SZ,000060,中金岭南,铅锌,主板,1997-01-23,1805117.9436
000061.SZ,000061,农产品,农业综合,主板,1997-01-10,1092824.8559
000062.SZ,000062,深圳华强,元器件,主板,1997-01-30,3224125.6698
000063.SZ,000063,中兴通讯,通信设备,主板,1997-11-18,12645064.0915
000065.SZ,000065,北方国际,建筑工程,主板,1998-06-05,916728.298
