ts_code,symbol,name,industry,market,list_date,circ_mv,turnover_rate_f
000001.SZ,000001,平安银行,银行,主板,1991-04-03,23694259.0017,6.6544
000002.SZ,000002,万科A,全国地产,主板,1991-01-29,9444861.6608,8.9545
000009.SZ,000009,中国宝安,电气设备,主板,1991-06-25,2451924.5414,4.2302
000012.SZ,000012,南玻A,玻璃,主板,1992-02-28,1132463.6348,6.0501
000021.SZ,000021,深科技,元器件,主板,1994-02-02,2579380.3976,11.3754
000027.SZ,000027,深圳能源,火力发电,主板,1993-09-03,3325415.5513,6.698
000028.SZ,000028,国药一致,医药商业,主板,1993-08-09,1512083.8942,8.5966
000029.SZ,000029,深深房A,区域地产,主板,1993-09-15,1477480.62,21.4483
000030.SZ,000030,富奥股份,汽车配件,主板,1993-09-29,898563.2238,5.4315
000031.SZ,000031,大悦城,全国地产,主板,1993-10-08,1344970.0888,7.0777
000032.SZ,000032,深桑达A,建筑工程,主板,1993-10-28,1116086.1568,14.0512
000034.SZ,000034,神州数码,软件服务,主板,1994-05-09,1694468.8966,12.2737
000035.SZ,000035,中国天楹,环境保护,主板,1994-04-08,1239652.9425,3.71
000039.SZ,000039,中集集团,运输设备,主板,1994-04-08,2068965.0198,3.8523
000048.SZ,000048,京基智农,区域地产,主板,1994-11-01,847647.585,4.7395
000049.SZ,000049,德赛电池,电气设备,主板,1995-03-20,1004691.0869,10.3811
000050.SZ,000050,深天马A,元器件,主板,1995-03-15,1988294.7406,4.7033
000059.SZ,000059,华锦股份,石油加工,主板,1997-01-30,764533.5327,6.0189
000060.SZ,000060,中金岭南,铅锌,主板,1997-01-23,1853702.6739,6.2137
000061.SZ,000061,农产品,农业综合,主板,1997-01-10,1074158.5928,4.0525
000062.SZ,000062,深圳华强,元器件,主板,1997-01-30,3069551.4557,42.4166
000063.SZ,000063,中兴通讯,通信设备,主板,1997-11-18,12544386.8296,9.3525
000065.SZ,000065,北方国际,建筑工程,主板,1998-06-05,962009.5406,8.5442
000066.SZ,000066,中国长城,IT设备,主板,1997-06-26,3266371.4215,5.7538
000069.SZ,000069,华侨城A,全国地产,主板,1997-09-10,2013227.1148,0.6481
000088.SZ,000088,盐田港,港口,主板,1997-07-28,1149308.2267,4.9659
000089.SZ,000089,深圳机场,机场,主板,1998-04-20,1453976.3637,6.633
000090.SZ,000090,天健集团,建筑工程,主板,1999-07-21,837070.0504,10.3988
000099.SZ,000099,中信海直,空运,主板,2000-07-31,1449914.3861,25.4903
000100.SZ,000100,TCL科技,元器件,主板,2004-01-30,8288942.8397,4.2932
000155.SZ,000155,川能动力,新型电力,主板,2000-09-26,1523889.7773,5.4909
000156.SZ,000156,华数传媒,影视音像,主板,2000-09-06,1213576.4204,3.6671
000157.SZ,000157,中联重科,工程机械,主板,2000-10-12,5359446.6278,4.3585
000158.SZ,000158,常山北明,软件服务,主板,2000-07-24,2094333.0104,37.3996
000166.SZ,000166,申万宏源,证券,主板,2015-01-26,12890310.1848,5.6747
000301.SZ,000301,东方盛虹,化纤,主板,2000-05-29,5101226.93,1.9444
000333.SZ,000333,美的集团,家用电器,主板,2013-09-18,52328737.7683,2.657
000338.SZ,000338,潍柴动力,汽车配件,主板,2007-04-30,7886061.2985,3.9226
000400.SZ,000400,许继电气,电气设备,主板,1997-04-18,3447447.1365,5.7673
000401.SZ,000401,冀东水泥,水泥,主板,1996-06-14,863393.3626,4.0629
000402.SZ,000402,金融街,全国地产,主板,1996-06-26,1045880.4657,0.9081
000403.SZ,000403,派林生物,生物制药,主板,1996-06-28,1699996.1096,4.8869
000408.SZ,000408,藏格矿业,农药化肥,主板,1996-06-28,4543703.3974,3.8622
000415.SZ,000415,渤海租赁,多元金融,主板,1996-07-16,1633991.8905,6.7332
000422.SZ,000422,湖北宜化,农药化肥,主板,1996-08-15,1449522.1709,8.3462
000423.SZ,000423,东阿阿胶,中成药,主板,1996-07-29,3973337.0041,5.3188
000425.SZ,000425,徐工机械,工程机械,主板,1996-08-28,6309311.7047,3.038
000426.SZ,000426,兴业银锡,铅锌,主板,1996-08-28,2232171.6056,5.7058
000429.SZ,000429,粤高速A,路桥,主板,1998-02-20,1483189.433,8.5384
000498.SZ,000498,山东路桥,建筑工程,主板,1997-06-09,889320.3993,8.0764
000503.SZ,000503,国新健康,软件服务,主板,1992-11-30,892074.1335,7.0424
000513.SZ,000513,丽珠集团,化学制药,主板,1993-10-28,2437449.0806,4.1623
000516.SZ,000516,国际医学,医疗保健,主板,1993-08-09,1208419.349,5.8935
000519.SZ,000519,中兵红箭,专用机械,主板,1993-10-08,2049846.8215,10.2249
000521.SZ,000521,长虹美菱,家用电器,主板,1993-10-18,953993.4471,10.7129
000526.SZ,000526,学大教育,文教休闲,主板,1993-11-01,750887.7733,6.0968
000528.SZ,000528,柳工,工程机械,主板,1993-11-18,1800862.9013,4.6486
000536.SZ,000536,华映科技,元器件,主板,1993-11-26,917343.3953,23.1346
000537.SZ,000537,中绿电,新型电力,主板,1993-12-10,1840170.4714,5.9367
000538.SZ,000538,云南白药,中成药,主板,1993-12-15,10793340.2135,5.0825
000539.SZ,000539,粤电力A,火力发电,主板,1993-11-26,1289717.8077,9.0935
000543.SZ,000543,皖能电力,火力发电,主板,1993-12-20,1886030.2914,12.8505
000544.SZ,000544,中原环保,环境保护,主板,1993-12-08,820684.3389,7.9961
000547.SZ,000547,航天发展,通信设备,主板,1993-11-30,1240501.8936,6.94
000550.SZ,000550,江铃汽车,汽车整车,主板,1993-12-01,1452733.7743,19.389
000552.SZ,000552,甘肃能化,煤炭开采,主板,1994-01-06,1117732.1955,8.86
000553.SZ,000553,安道麦A,农药化肥,主板,1993-12-03,1223511.9131,5.1824
000555.SZ,000555,神州信息,软件服务,主板,1994-04-08,1101604.3287,14.6497
000559.SZ,000559,万向钱潮,汽车配件,主板,1994-01-10,1850116.1218,4.9679
000560.SZ,000560,我爱我家,房产服务,主板,1994-02-02,843471.8754,26.4272
000563.SZ,000563,陕国投A,多元金融,主板,1994-01-10,1912624.9139,16.3186
000567.SZ,000567,海德股份,多元金融,主板,1994-05-25,1349351.9448,16.1703
000568.SZ,000568,泸州老窖,白酒,主板,1994-05-09,21963317.9099,4.3964
000581.SZ,000581,威孚高科,汽车配件,主板,1998-09-24,1579224.8262,5.5219
000582.SZ,000582,北部湾港,港口,主板,1995-11-02,1160215.8481,7.6832
000589.SZ,000589,贵州轮胎,汽车配件,主板,1996-03-08,833908.5897,10.1359
000591.SZ,000591,太阳能,新型电力,主板,1996-02-08,1842388.9572,5.9147
000596.SZ,000596,古井贡酒,白酒,主板,1996-09-27,8295397.2,2.8866
000598.SZ,000598,兴蓉环境,水务,主板,1996-05-29,2159790.9914,8.0452
000603.SZ,000603,盛达资源,铅锌,主板,1996-08-23,827296.7356,10.3889
000612.SZ,000612,焦作万方,铝,主板,1996-09-26,837568.3612,12.8697
000617.SZ,000617,中油资本,多元金融,主板,1996-10-22,9317212.2812,16.6497
000623.SZ,000623,吉林敖东,中成药,主板,1996-10-28,2065011.3339,9.9704
000625.SZ,000625,长安汽车,汽车整车,主板,1997-06-10,12220101.0599,11.3874
000627.SZ,000627,天茂集团,保险,主板,1996-11-12,1688979.0452,21.7514
000628.SZ,000628,高新发展,建筑工程,主板,1996-11-18,950433.1659,21.1424
000629.SZ,000629,钒钛股份,小金属,主板,1996-11-15,2712664.7327,6.0488
000630.SZ,000630,铜陵有色,铜,主板,1996-11-20,4063215.1681,7.6006
000636.SZ,000636,风华高科,元器件,主板,1996-11-29,1828080.8734,5.8664
000650.SZ,000650,仁和药业,中成药,主板,1996-12-10,850755.5479,7.9837
000651.SZ,000651,格力电器,家用电器,主板,1996-11-18,26584869.3513,3.2727
000657.SZ,000657,中钨高新,小金属,主板,1996-12-05,1223575.5916,7.8565
000661.SZ,000661,长春高新,生物制药,主板,1996-12-18,4376684.3156,5.2133
000676.SZ,000676,智度股份,互联网,主板,1996-12-24,989543.6495,22.4423
000680.SZ,000680,山推股份,工程机械,主板,1997-01-22,1097409.0467,6.687
000681.SZ,000681,视觉中国,互联网,主板,1997-01-21,899111.6447,8.0494
000682.SZ,000682,东方电子,电气设备,主板,1997-01-21,1595307.6418,5.8021
000683.SZ,000683,远兴能源,化工原料,主板,1997-01-31,2212698.2055,4.6426
000685.SZ,000685,中山公用,水务,主板,1997-01-23,1133581.7935,10.6449
000686.SZ,000686,东北证券,证券,主板,1997-02-27,1919171.3903,7.9401
000688.SZ,000688,国城矿业,铅锌,主板,1997-01-20,1362469.6455,4.3329
000690.SZ,000690,宝新能源,火力发电,主板,1997-01-28,1065490.7631,5.027
000703.SZ,000703,恒逸石化,化纤,主板,1997-03-28,2556782.3299,2.055
000708.SZ,000708,中信特钢,特种钢,主板,1997-03-26,6884321.5506,4.8716
000709.SZ,000709,河钢股份,普钢,主板,1997-04-16,2294461.5524,6.3731
000712.SZ,000712,锦龙股份,证券,主板,1997-04-15,1311397.6434,23.2165
000719.SZ,000719,中原传媒,出版业,主板,1997-03-31,827930.1009,11.271
000723.SZ,000723,美锦能源,焦炭加工,主板,1997-05-15,2229799.1973,4.2085
000725.SZ,000725,京东方A,元器件,主板,2001-01-12,16473159.4774,4.9622
000727.SZ,000727,冠捷科技,元器件,主板,1997-05-20,1073507.3743,6.8169
000728.SZ,000728,国元证券,证券,主板,1997-06-16,3870670.9893,7.8504
000729.SZ,000729,燕京啤酒,啤酒,主板,1997-07-16,2823307.5004,4.2371
000733.SZ,000733,振华科技,元器件,主板,1997-07-03,2418332.0668,6.7801
000737.SZ,000737,北方铜业,铜,主板,1997-04-28,756779.5889,21.5616
000738.SZ,000738,航发控制,航空,主板,1997-06-26,2886828.8822,4.1526
000739.SZ,000739,普洛药业,化学制药,主板,1997-05-09,2015120.5102,4.0087
000750.SZ,000750,国海证券,证券,主板,1997-07-09,2799566.5209,1.4766
000756.SZ,000756,新华制药,化学制药,主板,1997-08-06,756184.7983,12.3596
000758.SZ,000758,中色股份,铅锌,主板,1997-04-16,1020104.8561,8.2192
000762.SZ,000762,西藏矿业,小金属,主板,1997-07-08,1223360.6517,12.5316
000766.SZ,000766,通化金马,化学制药,主板,1997-04-30,1596810.6967,7.0587
000768.SZ,000768,中航西飞,航空,主板,1997-06-26,7641460.396,4.1323
000776.SZ,000776,广发证券,证券,主板,1997-06-11,9885216.7449,11.1542
