l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,002489.SZ,浙江永强,20100111,,Y
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,603008.SH,喜临门,20120106,,Y
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,603816.SH,顾家家居,20161012,,Y
801140.SI,轻工制造,801142.SI,家居用品,851438.SI,定制家居,603833.SH,欧派家居,20170310,,Y
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,603848.SH,好太太,20171121,,Y
801140.SI,轻工制造,801142.SI,家居用品,851438.SI,定制家居,603801.SH,志邦家居,20170620,,Y
801140.SI,轻工制造,801142.SI,家居用品,851439.SI,卫浴制品,603992.SH,松霖科技,20190808,,Y
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,603195.SH,公牛集团,20200121,,Y
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,301004.SZ,嘉益股份,20210609,,Y
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,605099.SH,共创草坪,20200914,,Y
801140.SI,轻工制造,801142.SI,家居用品,851439.SI,卫浴制品,603408.SH,建霖家居,20200713,,Y
801140.SI,轻工制造,801142.SI,家居用品,851436.SI,瓷砖地板,003012.SZ,东鹏控股,20210730,,Y
801140.SI,轻工制造,801142.SI,家居用品,851438.SI,定制家居,002572.SZ,索菲亚,20110131,,Y
